BEACH    8 STREET,|['CUL DE SAC', 'SEAGIRT AVENUE']|
GRISWOLD AVENUE,|['STADIUM AVENUE', 'RADIO DRIVE']|
EMERSON PLACE,|['LAFAYETTE AVENUE', '35 STREET            *N']|
EAST PERKIOMEN AVENUE,|['ARMSTRONG AVENUE', 'DEAD END']|
GULF AVENUE,|['WESTERN AVENUE', 'FOREST AVENUE']|
PUTNAM PLACE,|['EAST  211 STREET', 'EAST GUN HILL ROAD']|
B    3 STREET,|['SEAGIRT AVENUE', 'DEAD END']|
NORTH OXFORD STREET,|['PARK AVENUE', 'FLUSHING AVENUE']|
40 ROAD,|['DEAD END', 'COLLEGE POINT BOULEVARD']|
CHARLOTTE STREET,|['BOSTON ROAD', 'EAST  170 STREET']|
MCDONALD AVENUE        *W RDWY,|['AVENUE C', 'CORTELYOU ROAD']|
CLARKSON STREET,|['WEST STREET', 'WASHINGTON STREET']|
74 AVENUE,|['SOUTH CONDUIT AVENUE', '85 STREET']|
FIELDER AVENUE,|['TOMPKINS CIRCLE', 'VICTORY BOULEVARD']|
WEST STREET            *W S/R,|['LAIGHT STREET', 'HARRISON STREET']|
MOODY PLACE,|['BARD AVENUE', 'KISSEL AVENUE']|
WEST  185 STREET,|['FORT WASHINGTON AVENUE', 'PINEHURST AVENUE']|
HART PLACE,|['WEST   15 STREET', 'CROPSEY AVENUE']|
B   96 STREET,|['ROCKAWAY FREEWAY', 'BEACH CHANNEL DRIVE']|
